ID, Marque, Ref, Nb, Prix, Date d'achat, Argus, Date dernier argus, Facture, Photo, Type, Numéro de série, Commentaire, En vente
1,Yamaha,HS5,2,139.0,23-08-2017,175.0,04-07-2024,hs5.pdf,hs5.jpg,Enceintes,,,oui
2,Native Instrument,Komplete Kontrol S49 MK2,1,499.0,24-08-2020,398.0,04-07-2024,komplete.pdf,komplete.jpg,Clavier,946JQ-FE6AB-TW051-2X83N-K3NZY,,oui
3,Golden Age Audio,Premier PRE-73 DLX,1,584.0,24-08-2020,639.0,04-07-2024,ga-dlx.pdf,ga-dlx.jpg,Préampli,00061,,oui
4,Numark,Mixtrack pro 2,1,187.0,01-12-2014,85.0,04-07-2024,mixtrack.pdf,mixtrack.jpg,Controleur,N31403912280729,,oui
5,Akaï,MPK mini MKII,1,99.0,13-08-2016,99.0,04-07-2024,mpk.pdf,mpk.jpg,Clavier,(21)A31604155945356,,oui
6,Golden Age Audio,Premier PRE-73,2,479.0,04-01-2023,485.0,04-07-2024,ga-pre73-2.pdf,ga-pre73-2.jpg,Préampli,02324/02328,,oui
7,MXR,Phase 90,1,105.0,28-10-2013,119.0,04-07-2024,mxr90.pdf,mxr90.jpg,Pédale,,,oui
8,Neumann,TLM103,1,975.0,18-11-2019,1039.0,04-07-2024,neumann.pdf,neumann.jpg,Micro,,Déclaré à lassurance,oui
9,Novation,Launchcontrol XL MK2,1,170.0,13-11-2022,159.0,04-07-2024,novation.pdf,novation.jpg,Controleur,,,oui
10,TC Electronic,Corona mini,1,79.0,24-02-2021,79.0,04-07-2024,corona.pdf,corona.jpg,Pédale,,,oui
11,MXR,Dynacomp mini,1,124.0,24-02-2021,139.0,04-07-2024,dynacomp.pdf,dynacomp.jpg,Pédale,,,oui
12,Mooer,Noise killer,1,59.0,24-02-2021,66.0,04-07-2024,mooer.pdf,mooer.jpg,Pédale,,,oui
13,Harley Benton,PowerPlant ISO-12 Pro,1,98.0,24-02-2021,98.0,04-07-2024,powerplant.pdf,powerplant.jpg,Pédale,,,oui
14,Wampler,Tumnus overdrive V2,1,149.0,24-02-2021,147.0,04-07-2024,tumnus.pdf,tumnus.jpg,Pédale,,,oui
15,MXR,M290 Phase 95,1,119.0,24-02-2021,128.0,04-07-2024,phase95.pdf,phase95.jpg,Pédale,,,oui
16,TC Electronic,Polytune 3 mini,1,68.0,24-02-2021,85.0,04-07-2024,polytune.pdf,polytune.jpg,Pédale,,,oui
17,Mad professor,Supreme dual overdrive,1,249.0,10-08-2021,279.0,04-07-2024,supreme.pdf,supreme.jpg,Pédale,,,oui
18,Mooer,R7 Reverb,1,96.0,10-08-2021,89.0,04-07-2024,r7.pdf,r7.jpg,Pédale,,,oui
19,Dunlop,Cry Baby Mini 535Q Auto Return,1,179.0,10-08-2021,199.0,04-07-2024,mini535q.pdf,mini535q.jpg,Pédale,,,oui
20,Millenium,RW-2001,1,52.8,18-08-2021,66.0,04-07-2024,rack.pdf,rack.pdf,Rack,,,oui
21,Behringer,ECM8000,1,36.0,06-10-2020,35.0,04-07-2024,mesure.pdf,mesure.jpg,Micro,,,oui
22,Rocktron,Hush 2X,1,139.0,06-10-2020,77.5,04-07-2024,hush.pdf,hush.jpg,Pédale,,,non
23,Fender,Multi Guitar Stand 5,1,59.0,02-02-2016,59.0,04-07-2024,stand.pdf,stand.jpg,Rack,,,oui
24,Audio Technica,ATH-M30X,1,73.0,02-02-2016,69.0,04-07-2024,ath.pdf,ath.jpg,Casque,,,oui
25,The t.bone,SC 140 Stereo set,1,105.0,08-04-2016,99.0,04-07-2024,sc140.pdf,sc140.jpg,Micro,,,oui
